,,,,,,,,,,,
NAME,SOUL ID,Wrongdoing,Atonement Task,Punishment,Difficulty,VIBE,Duration,Supervisor,BRIBE,Completion Check,Vote
Adolf Hitler,3053117,"Mistook ""The Hunger Games"" for a legitimate national policy.","Write 1,000,000 headlines that are 100% accurate and boring",ETERNAL DIAL-UP,Impossible,ROTTING,Eternal,Clippy,FALSE,FALSE,1664
Bill Clinton,2586199,"Played the sax, but arguably ""played"" the intern more.",Whisper secrets to a marble statue until it laughs,UNSKIPPABLE ADS,Medium,SEETHING,500 Years,Demon Karen,FALSE,FALSE,1625
Josef Stalin,5480618,"Took the ""back to school"" sales a bit too literally.",Manually categorize every piece of spam ever sent,NO WIFI SIGNAL,High,MALDING,Infinity,IT Manager,FALSE,FALSE,1284
Pol Pot,3066371,"The absolute worst candidate for a ""World’s Best Doctor"" mug.",Hand-carve every letter of the dictionary in Papyrus font,STEPPING ON A LEGO,Extreme,REGRET,Eons,The Font God,FALSE,FALSE,919
Dr. Josef Mengele,3642203,"Discovered that ""Delete"" doesn't actually mean ""It never happened.""","Watch the *Titanic* ending every hour, but the audio is off-sync",WET SOCKS,Medium,SCREAMING,Until Water Recedes,Spoiler Alert Demon,FALSE,FALSE,783
Hillary Clinton,2378310,"Really misunderstood the concept of ""neighborly love"" toward Kuwait.",Peel and re-apply sticky labels to every product in the world,CHEESE TOUCH,High,COPE,Endless,Timer Imp,FALSE,FALSE,765
Saddam Hussein,4991124,Followed the GPS directions straight into a war crime.,"Praise the virtues of a kind, thoughtful stranger",TONGUE AWARENESS,Low,ITCHY,"10,000 Days",Archangel Michael,FALSE,FALSE,710
Adolf Eichmann,9912078,"A very unsuccessful, very murdery version of a hippie.",Sort rice by lenght,Rectal Pineapple,Not with that attitude,BURNING,Groundhog Day,Jimmy the Idiot boy,FALSE,FALSE,641
Charles Manson,2893368,Partied until others dropped,Wet Socks,Typing with Elbows,Yeech,DESPAIRING,Two Weeks,Doom Guy,FALSE,FALSE,548
Idi Amin,7976899,Awarded himself titles instead of actually winning them.,"Be eternally chased by a giant, hungry banana.",Electric Fork,High,PANTING,Until Caught,Banana Demon,FALSE,FALSE,514
Genghis Khan,9085295,"oo many conquests, not enough sharing.","Assemble Ikea furniture without instructions or the little hex key, forever.",Paper Cut Rain,Extreme,FRUSTRATED,Infinity,Sven the Assembly Demon,FALSE,FALSE,441
Jeffrey Dahmer,9399091,Dinner guests became permanent houseguests.,"Only be allowed to eat dry toast that has been slightly burned, served by a host of extremely polite victims.",Eternal Dentist Drill,Medium,STARVING,"1,000 Years",Chef Gordon Ramsay,FALSE,FALSE,428
Benito Mussolini,3787150,"Tried to make the trains run on time, violently.","Polish every bumper of every car driven by every taxi driver in Italy, every single day.",Singing Fish,Low,ANNOYED,888 Years,Luca the Detailer Imp,FALSE,FALSE,386
Ayatollah Khomeini,5644726,"Religious reform, with extreme rules and no fun.","Watch a 24-hour loop of classic Western cartoons (Bugs Bunny, Tom and Jerry) on the highest volume.",Mandatory Disco,Medium,IRRITATED,Eternal,Cartoon Cat,FALSE,FALSE,365
Ted Bundy,9546990,"Really bad at dating, serial ghoster.","Be forced to write an encouraging, feminist self-help book for 1786 chapters.",Public Speaking,High,HUMILIATED,Eons,Oprah Winfrey,FALSE,FALSE,327
John Wayne Gacy,7573910,Clowning around led to severe neighborhood issues.,"Must paint clown faces on every sewer grate in Hell, only to have them washed off by demon tears.",Tiny Shoes,Extreme,CRAMPED,Forever,Pennywise's Nephew,FALSE,FALSE,312
